DNI;Nom;Cognoms;Adress;Email;Telefons
47103298A;Paco;Plazas;Lombardia 5, 3r 4a,  Sant Feliu de Llobregat;NULL;650962184
36709523B;Adria;Guerrero Costa;Tres Creus 2 1r 2a;fake1@fake.com;626521285
38482810C;Rebeca;Gomez Tallarin;NULL;fake1@fake.com;647650451
30332699D;Manuel;Sirvent Malloras;NULL;fake1@fake.com;636218411
41384876E;Axel;Perez Perez;Gores 27, Girona;fake1@fake.com;669136118
33917199F;Jose;Perez Vazquez;Pasaje de la Barranquilla 12, Malaga;fake1@fake.com;612860547
48203833G;Marina;Albert Esteve;Calle del suspiro 3, Fuengirola;fake1@fake.com;649901287
37991219H;Silvia;Cantarero Gimenez;NULL;fake1@fake.com;662868839
48858771I;Silvia;Dolç Llompart;NULL;fake1@fake.com;NULL
38044241J;Carmen;Richardson;Avenida del Prado, Sant Pol;fake1@fake.com;659369536
48830711K;Pedro;McNeil;Rua de la pena, Terrasa;fake1@fake.com;650449556
49814922L;Paco;Martinez Bordiu;Marques de Vidal, Terrasa;fake1@fake.com;628670118
34256846M;Jose;Medialdea Johnson;Avinguda dels Vents, Badalona;fake1@fake.com;648812569
45619618N;Francisco;Almirall ;Avg Marques de SantMori, Badalona;fake1@fake.com;NULL
44954394O;Imanol;Lopez;Pasatge Riu Ter, Badalona;fake1@fake.com;NULL
39409509P;Carme;Castaño Martinez;Carrer de Camprodón, Barcelona;fake1@fake.com;697574942
46489084Q;Melinda;Martin Martin;Carrer de Honduras, Barcelona;fake1@fake.com;660644758
30000447R;Yocelin;Poveda Exposito;Carrer de Perú 22, 4rt, Barcelona;fake1@fake.com;678313906
42384959S;Robert;Del Toro ;;fake1@fake.com;695786573
49094230T;Andreu;Casas i Fontanals;;fake1@fake.com;615944518
40638973U;Antoni;Llobert i Mora;;fake1@fake.com;603440313
30722940V;Lindsay;Santacreu;;fake1@fake.com;NULL
31940963W;Rogelia;Goldsmith;;fake1@fake.com;642624001
46678186X;Dina;Trump;;fake1@fake.com;634531561
36745090Y;Maria Teresa;Campos;;fake1@fake.com;632371577
45848249Z;Teresa;Borrego;;fake1@fake.com;654528584
